SessionDate,SessionName,ChannelNumber,Region,Probe
11/17/17,Chap00_rec07,102,LCN,4
11/17/17,Chap00_rec07,103,LCN,4
11/17/17,Chap00_rec07,104,LCN,4
11/17/17,Chap00_rec07,105,LCN,4
11/17/17,Chap00_rec07,106,LCN,4
11/17/17,Chap00_rec07,107,LCN,4
11/17/17,Chap00_rec07,108,LCN,4
11/17/17,Chap00_rec07,109,LCN,4
11/17/17,Chap00_rec07,110,LCN,4
11/17/17,Chap00_rec07,111,LCN,4
11/17/17,Chap00_rec07,112,LCN,4
12/14/17,Chap00_rec17,1,LOFC,1
12/14/17,Chap00_rec17,2,LOFC,1
12/14/17,Chap00_rec17,3,LOFC,1
12/14/17,Chap00_rec17,4,LOFC,1
12/14/17,Chap00_rec17,5,LOFC,1
12/14/17,Chap00_rec17,6,LOFC,1
12/14/17,Chap00_rec17,7,LOFC,1
12/14/17,Chap00_rec17,8,LOFC,1
12/14/17,Chap00_rec17,9,LOFC,1
12/14/17,Chap00_rec17,10,LOFC,1
12/14/17,Chap00_rec17,11,LOFC,1
12/14/17,Chap00_rec17,12,LOFC,1
12/14/17,Chap00_rec17,13,LOFC,1
12/14/17,Chap00_rec17,14,LOFC,1
12/14/17,Chap00_rec17,15,LOFC,1
12/14/17,Chap00_rec17,16,LOFC,1
12/14/17,Chap00_rec17,33,LOFC,2
12/14/17,Chap00_rec17,34,LOFC,2
12/14/17,Chap00_rec17,35,LOFC,2
12/14/17,Chap00_rec17,36,LOFC,2
12/14/17,Chap00_rec17,37,LOFC,2
12/14/17,Chap00_rec17,38,LOFC,2
12/14/17,Chap00_rec17,39,LOFC,2
12/14/17,Chap00_rec17,40,LOFC,2
12/14/17,Chap00_rec17,41,LOFC,2
12/14/17,Chap00_rec17,42,LOFC,2
12/14/17,Chap00_rec17,43,LOFC,2
12/14/17,Chap00_rec17,44,LOFC,2
12/14/17,Chap00_rec17,45,LOFC,2
12/14/17,Chap00_rec17,46,LOFC,2
12/14/17,Chap00_rec17,47,LOFC,2
12/14/17,Chap00_rec17,48,LOFC,2
12/14/17,Chap00_rec17,65,LCN,3
12/14/17,Chap00_rec17,66,LCN,3
12/14/17,Chap00_rec17,67,LCN,3
12/14/17,Chap00_rec17,68,LCN,3
12/14/17,Chap00_rec17,69,LCN,3
12/14/17,Chap00_rec17,70,LCN,3
